Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,5.300000,5.400000,5.300000,5.400000,5.400000,300
2020-11-06,5.250000,5.250000,5.250000,5.250000,5.250000,0
2020-11-09,5.350000,5.350000,5.350000,5.350000,5.350000,0
2020-11-10,4.860000,5.050000,4.860000,5.050000,5.050000,1000
2020-11-11,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-11-12,4.820000,4.820000,4.820000,4.820000,4.820000,0
2020-11-13,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-11-16,4.660000,4.780000,4.660000,4.780000,4.780000,490
2020-11-17,4.600000,4.740000,4.600000,4.740000,4.740000,2200
2020-11-18,4.700000,4.700000,4.700000,4.700000,4.700000,0
2020-11-19,4.920000,5.150000,4.920000,5.150000,5.150000,10000
2020-11-20,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-11-23,4.900000,5.000000,4.900000,5.000000,5.000000,1000
2020-11-24,5.050000,5.050000,5.000000,5.000000,5.000000,1000
2020-11-25,4.940000,4.940000,4.940000,4.940000,4.940000,0
2020-11-26,5.150000,5.250000,5.150000,5.150000,5.150000,3200
2020-11-27,5.150000,5.150000,5.150000,5.150000,5.150000,0
2020-11-30,5.250000,5.400000,5.250000,5.400000,5.400000,25
2020-12-01,5.150000,5.150000,5.150000,5.150000,5.150000,0
2020-12-02,5.050000,5.050000,5.050000,5.050000,5.050000,0
2020-12-03,5.050000,5.050000,5.050000,5.050000,5.050000,0
2020-12-04,4.920000,4.920000,4.920000,4.920000,4.920000,0
2020-12-07,4.800000,4.920000,4.760000,4.760000,4.760000,141
2020-12-08,4.920000,5.000000,4.920000,5.000000,5.000000,85
2020-12-09,4.780000,4.780000,4.780000,4.780000,4.780000,0
2020-12-10,4.880000,4.880000,4.880000,4.880000,4.880000,0
2020-12-11,4.920000,4.920000,4.920000,4.920000,4.920000,0
2020-12-14,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-12-15,4.800000,4.800000,4.800000,4.800000,4.800000,212
2020-12-16,4.760000,4.880000,4.760000,4.860000,4.860000,340
2020-12-17,4.820000,4.820000,4.820000,4.820000,4.820000,0
2020-12-18,4.760000,4.940000,4.760000,4.940000,4.940000,100
2020-12-21,4.780000,4.780000,4.780000,4.780000,4.780000,1000
2020-12-22,4.700000,4.700000,4.700000,4.700000,4.700000,840
2020-12-23,4.800000,4.800000,4.800000,4.800000,4.800000,0
2020-12-28,4.820000,4.820000,4.820000,4.820000,4.820000,0
2020-12-29,4.860000,4.860000,4.860000,4.860000,4.860000,0
2020-12-30,4.860000,4.860000,4.860000,4.860000,4.860000,0
2021-01-04,4.980000,4.980000,4.980000,4.980000,4.980000,2785
2021-01-05,5.150000,5.150000,5.150000,5.150000,5.150000,0
2021-01-06,5.400000,5.400000,5.400000,5.400000,5.400000,0
2021-01-07,5.300000,5.300000,5.300000,5.300000,5.300000,400
2021-01-08,5.400000,5.400000,5.400000,5.400000,5.400000,0
2021-01-11,5.400000,5.400000,5.400000,5.400000,5.400000,1000
2021-01-12,5.400000,5.500000,5.400000,5.500000,5.500000,200
2021-01-13,5.450000,5.450000,5.450000,5.450000,5.450000,0
2021-01-14,5.550000,5.550000,5.550000,5.550000,5.550000,0
2021-01-15,5.650000,5.650000,5.650000,5.650000,5.650000,0
2021-01-18,5.550000,5.550000,5.550000,5.550000,5.550000,750
2021-01-19,5.550000,5.550000,5.550000,5.550000,5.550000,0
2021-01-20,5.350000,5.350000,5.350000,5.350000,5.350000,0
2021-01-21,5.450000,5.450000,5.450000,5.450000,5.450000,0
2021-01-22,5.500000,5.500000,5.500000,5.500000,5.500000,0
2021-01-25,5.400000,5.400000,5.400000,5.400000,5.400000,0
2021-01-26,5.400000,5.400000,5.400000,5.400000,5.400000,0
2021-01-27,5.400000,5.650000,5.400000,5.650000,5.650000,8690
2021-01-28,5.150000,5.150000,5.150000,5.150000,5.150000,0
2021-01-29,5.100000,5.100000,5.100000,5.100000,5.100000,0
2021-02-01,5.250000,5.250000,5.250000,5.250000,5.250000,0
2021-02-02,5.400000,5.400000,5.400000,5.400000,5.400000,0
2021-02-03,5.550000,5.550000,5.550000,5.550000,5.550000,200
2021-02-04,5.200000,5.200000,5.200000,5.200000,5.200000,0
2021-02-05,5.150000,5.150000,5.150000,5.150000,5.150000,0
2021-02-08,5.200000,5.200000,5.200000,5.200000,5.200000,0
2021-02-09,5.250000,5.250000,5.250000,5.250000,5.250000,0
2021-02-10,5.200000,5.200000,5.150000,5.150000,5.150000,750
2021-02-11,5.200000,5.200000,5.200000,5.200000,5.200000,0
2021-02-12,5.250000,5.350000,5.250000,5.350000,5.350000,10000
2021-02-15,5.150000,5.150000,5.150000,5.150000,5.150000,0
